Student #	GPA	Choice Ranking
400277358	5.9	[28, 24, 7, 25, 12, 29, 14, 23, 13, 1]
400277359	8.5	[19, 7, 16, 19, 25, 8, 12, 25, 17, 26]
400277360	2.9	[29, 28, 11, 8, 19, 27, 28, 14, 10, 11]
400277361	5.8	[19, 4, 20, 18, 1, 26, 24, 0, 8, 20]
400277362	6.4	[24, 14, 25, 29, 21, 10, 4, 19, 27, 2]
400277363	6.0	[0, 16, 11, 27, 7, 3, 18, 3, 17, 21]
400277364	7.7	[3, 27, 29, 11, 17, 7, 6, 19, 2, 16]
400277365	9.7	[12, 14, 22, 16, 25, 18, 18, 2, 25, 10]
400277366	5.3	[24, 16, 20, 19, 8, 20, 5, 25, 27, 1]
400277367	5.5	[22, 1, 21, 7, 24, 22, 5, 13, 3, 7]
400277368	11.8	[17, 23, 7, 9, 27, 16, 1, 13, 22, 15]
400277369	7.3	[8, 14, 3, 10, 30, 0, 21, 11, 25, 17]
400277370	8.9	[0, 1, 8, 1, 25, 15, 9, 26, 28, 30]
400277371	5.4	[13, 3, 29, 25, 23, 14, 25, 4, 27, 9]
400277372	11.6	[1, 30, 16, 5, 24, 3, 21, 27, 1, 29]
400277373	6.3	[17, 19, 17, 26, 8, 21, 19, 13, 12, 11]
400277374	8.9	[4, 3, 26, 10, 12, 18, 21, 6, 0, 5]
400277375	3.3	[1, 12, 29, 21, 9, 18, 19, 20, 15, 0]
400277376	10.3	[6, 7, 13, 9, 27, 17, 30, 19, 22, 19]
400277377	4.5	[19, 28, 5, 8, 9, 14, 14, 22, 8, 25]
400277378	6.7	[24, 24, 10, 17, 4, 20, 29, 28, 10, 1]
400277379	5.0	[13, 25, 10, 22, 30, 26, 11, 10, 24, 27]
400277380	7.9	[1, 13, 4, 6, 4, 4, 23, 17, 0, 17]
400277381	8.8	[16, 18, 13, 11, 22, 6, 26, 16, 15, 8]
400277382	6.8	[15, 18, 20, 3, 4, 21, 15, 20, 6, 27]
400277383	8.9	[7, 2, 29, 30, 24, 29, 3, 24, 15, 10]
400277384	6.1	[15, 11, 2, 29, 5, 21, 9, 7, 18, 27]
400277385	7.2	[17, 30, 22, 1, 13, 10, 19, 9, 2, 2]
400277386	7.0	[15, 29, 29, 12, 6, 6, 2, 28, 3, 15]
400277387	5.7	[24, 27, 18, 5, 6, 7, 0, 22, 11, 30]
400277388	5.6	[12, 2, 16, 10, 11, 9, 4, 10, 9, 12]
400277389	9.6	[6, 16, 10, 20, 28, 17, 2, 24, 4, 26]
400277390	9.5	[30, 25, 8, 30, 14, 20, 27, 27, 0, 21]
400277391	9.1	[10, 15, 19, 2, 10, 16, 26, 18, 14, 22]
400277392	10.2	[30, 19, 7, 12, 19, 15, 0, 23, 1, 5]
400277393	4.5	[25, 18, 18, 19, 16, 24, 22, 13, 20, 9]
400277394	7.7	[1, 7, 24, 7, 2, 27, 21, 0, 12, 13]
400277395	8.0	[2, 10, 30, 13, 1, 6, 9, 3, 14, 21]
400277396	5.9	[6, 21, 17, 1, 16, 2, 14, 2, 10, 25]
400277397	8.5	[26, 0, 28, 3, 16, 6, 29, 3, 24, 2]
400277398	6.0	[5, 17, 29, 24, 28, 2, 6, 13, 30, 15]
400277399	7.3	[18, 22, 27, 11, 15, 1, 16, 18, 30, 3]
400277400	10.6	[18, 27, 8, 17, 10, 15, 12, 27, 26, 4]
400277401	5.2	[21, 4, 5, 2, 4, 3, 29, 16, 1, 19]
400277402	6.1	[14, 28, 27, 19, 28, 30, 12, 14, 0, 25]
400277403	7.3	[9, 25, 12, 17, 18, 14, 27, 23, 13, 14]
400277404	6.4	[24, 6, 28, 19, 13, 8, 26, 27, 15, 17]
400277405	5.8	[11, 9, 7, 27, 29, 22, 17, 6, 22, 9]
400277406	5.6	[14, 25, 21, 12, 27, 17, 0, 7, 5, 18]
400277407	6.0	[29, 16, 5, 9, 23, 30, 26, 24, 13, 7]
400277408	9.0	[15, 24, 23, 2, 25, 7, 19, 28, 12, 11]
400277409	7.9	[16, 16, 6, 26, 17, 27, 20, 8, 11, 18]
400277410	5.7	[17, 28, 6, 6, 26, 8, 4, 22, 3, 18]
400277411	8.7	[13, 26, 7, 16, 13, 17, 16, 2, 25, 19]
400277412	8.1	[13, 21, 17, 2, 12, 12, 17, 18, 22, 30]
400277413	8.2	[8, 3, 13, 0, 24, 4, 1, 18, 20, 11]
400277414	6.0	[0, 25, 19, 26, 13, 26, 8, 13, 23, 23]
400277415	6.4	[19, 24, 3, 1, 9, 3, 9, 10, 15, 15]
400277416	5.7	[15, 20, 26, 13, 30, 13, 10, 17, 12, 19]
400277417	8.5	[16, 13, 2, 28, 21, 30, 4, 24, 22, 10]
400277418	1.2	[19, 0, 10, 27, 9, 6, 22, 18, 27, 22]
400277419	8.5	[7, 2, 23, 5, 30, 9, 12, 28, 22, 7]
400277420	7.1	[28, 16, 19, 17, 25, 20, 24, 14, 30, 29]
400277421	6.1	[2, 0, 8, 21, 10, 26, 6, 22, 17, 20]
400277422	5.5	[2, 1, 28, 10, 24, 1, 4, 12, 21, 17]
400277423	4.5	[29, 12, 3, 4, 16, 8, 20, 3, 0, 2]
400277424	9.9	[25, 25, 2, 7, 21, 2, 8, 9, 17, 24]
400277425	5.6	[6, 13, 25, 27, 21, 26, 5, 20, 17, 18]
400277426	4.6	[27, 23, 4, 25, 23, 4, 11, 10, 28, 17]
400277427	7.5	[20, 4, 30, 20, 8, 23, 23, 20, 23, 7]
400277428	7.9	[9, 18, 22, 3, 25, 6, 0, 19, 0, 4]
400277429	7.9	[0, 17, 24, 3, 19, 26, 6, 2, 2, 10]
400277430	9.4	[24, 16, 7, 15, 5, 14, 23, 10, 11, 8]
400277431	5.7	[24, 9, 0, 28, 21, 24, 23, 8, 14, 10]
400277432	4.3	[19, 14, 29, 6, 5, 19, 26, 11, 1, 4]
400277433	9.2	[4, 30, 12, 30, 11, 16, 20, 4, 11, 28]
400277434	6.0	[6, 27, 8, 18, 15, 12, 17, 25, 7, 19]
400277435	6.4	[19, 1, 30, 8, 16, 11, 24, 13, 13, 24]
400277436	9.5	[12, 10, 22, 2, 24, 2, 24, 2, 27, 5]
400277437	5.7	[18, 9, 27, 30, 17, 24, 1, 14, 9, 11]
400277438	2.8	[22, 30, 15, 14, 9, 3, 17, 27, 3, 2]
400277439	4.7	[4, 29, 23, 16, 21, 11, 28, 5, 16, 19]
400277440	8.3	[26, 1, 14, 12, 30, 2, 28, 0, 11, 10]
400277441	4.7	[16, 22, 18, 14, 0, 25, 5, 6, 13, 23]
400277442	9.2	[24, 10, 29, 12, 30, 8, 14, 18, 18, 2]
400277443	10.7	[17, 2, 28, 25, 25, 5, 28, 3, 26, 1]
400277444	8.4	[15, 30, 17, 8, 5, 13, 11, 22, 24, 19]
400277445	9.6	[10, 27, 1, 6, 28, 2, 11, 28, 7, 21]
400277446	4.5	[17, 22, 7, 0, 26, 15, 1, 18, 3, 10]
400277447	9.0	[2, 5, 29, 3, 13, 9, 20, 16, 27, 17]
400277448	5.3	[16, 5, 27, 7, 10, 2, 8, 15, 19, 21]
400277449	4.9	[23, 13, 15, 12, 29, 11, 24, 24, 9, 18]
400277450	9.5	[21, 5, 12, 2, 21, 10, 21, 6, 5, 20]
400277451	6.7	[2, 2, 8, 16, 19, 26, 23, 16, 14, 21]
400277452	4.5	[25, 12, 15, 24, 30, 22, 6, 24, 11, 7]
400277453	8.0	[7, 8, 29, 13, 23, 5, 29, 0, 20, 11]
400277454	10.0	[20, 1, 18, 17, 11, 1, 17, 23, 16, 15]
400277455	1.6	[30, 8, 15, 27, 18, 19, 13, 15, 25, 8]
400277456	9.7	[17, 1, 9, 19, 27, 2, 9, 7, 14, 3]
400277457	9.0	[7, 9, 4, 4, 5, 28, 13, 27, 13, 2]
400277458	4.9	[18, 3, 18, 11, 18, 17, 24, 29, 8, 24]
400277459	9.6	[18, 15, 22, 9, 16, 25, 15, 14, 11, 21]
400277460	8.9	[12, 19, 0, 14, 11, 22, 26, 15, 19, 0]
400277461	4.4	[20, 27, 27, 26, 4, 18, 12, 23, 14, 22]
400277462	4.3	[24, 4, 18, 18, 23, 28, 19, 29, 19, 6]
400277463	5.5	[10, 12, 7, 6, 9, 8, 3, 26, 20, 6]
400277464	5.4	[13, 5, 5, 8, 8, 15, 20, 3, 21, 15]
400277465	9.3	[22, 29, 4, 2, 30, 7, 23, 13, 30, 4]
400277466	6.5	[4, 6, 27, 25, 27, 8, 29, 11, 1, 26]
400277467	6.9	[28, 17, 23, 26, 24, 14, 15, 0, 9, 18]
400277468	4.0	[16, 19, 10, 21, 14, 22, 4, 20, 11, 10]
400277469	7.0	[18, 18, 21, 16, 22, 29, 24, 1, 17, 7]
400277470	8.8	[19, 10, 0, 13, 27, 12, 24, 21, 6, 23]
400277471	7.0	[15, 11, 16, 24, 19, 2, 20, 5, 16, 18]
400277472	7.7	[20, 24, 4, 15, 27, 22, 24, 7, 17, 18]
400277473	8.2	[8, 17, 12, 4, 18, 12, 18, 27, 5, 2]
400277474	12.0	[29, 8, 19, 4, 19, 11, 21, 5, 22, 3]
400277475	7.7	[27, 9, 1, 21, 30, 5, 7, 15, 3, 22]
400277476	6.3	[13, 21, 1, 28, 20, 16, 9, 14, 30, 4]
400277477	7.7	[18, 0, 5, 13, 12, 7, 3, 16, 7, 4]
400277478	10.0	[13, 7, 28, 18, 8, 27, 2, 26, 3, 24]
400277479	10.2	[30, 1, 30, 26, 11, 30, 22, 28, 3, 8]
400277480	6.9	[18, 27, 14, 21, 8, 13, 19, 13, 26, 7]
400277481	5.3	[18, 5, 17, 21, 21, 25, 21, 28, 2, 25]
400277482	7.2	[28, 30, 22, 6, 4, 15, 13, 14, 22, 30]
400277483	4.3	[0, 26, 12, 13, 19, 15, 15, 19, 8, 4]
400277484	7.6	[28, 8, 23, 12, 20, 26, 8, 26, 27, 0]
400277485	5.5	[9, 14, 24, 17, 29, 26, 7, 22, 1, 0]
400277486	7.8	[23, 24, 8, 26, 21, 2, 26, 23, 1, 23]
400277487	7.3	[13, 7, 29, 4, 13, 6, 9, 10, 28, 2]
400277488	6.7	[28, 11, 22, 4, 29, 14, 9, 5, 3, 15]
400277489	9.2	[24, 15, 23, 19, 6, 14, 7, 23, 9, 26]
400277490	8.4	[30, 26, 11, 4, 28, 4, 28, 22, 28, 4]
400277491	8.4	[5, 13, 6, 24, 28, 6, 11, 23, 20, 27]
400277492	8.5	[28, 14, 22, 19, 22, 3, 9, 11, 7, 8]
400277493	7.3	[30, 6, 9, 4, 17, 25, 5, 11, 7, 9]
400277494	5.6	[24, 12, 17, 10, 21, 29, 5, 5, 0, 26]
400277495	11.8	[0, 3, 8, 3, 22, 6, 11, 0, 10, 23]
400277496	10.8	[6, 4, 15, 10, 29, 4, 17, 24, 17, 22]
400277497	9.3	[30, 10, 8, 21, 26, 26, 19, 9, 12, 14]
400277498	4.3	[23, 14, 17, 20, 5, 22, 7, 4, 13, 18]
400277499	7.5	[1, 13, 4, 22, 1, 19, 21, 24, 4, 29]
400277500	6.9	[7, 24, 15, 3, 15, 24, 29, 14, 20, 2]
400277501	7.5	[7, 18, 10, 17, 18, 25, 30, 11, 12, 8]
400277502	6.1	[15, 4, 14, 21, 14, 4, 20, 20, 6, 4]
400277503	7.7	[5, 30, 25, 2, 20, 0, 15, 22, 27, 8]
400277504	7.2	[25, 9, 27, 3, 13, 13, 17, 13, 16, 24]
400277505	6.4	[30, 16, 1, 13, 22, 10, 27, 8, 24, 28]
400277506	8.0	[4, 18, 22, 27, 10, 24, 5, 16, 7, 25]
400277507	8.1	[28, 24, 22, 21, 7, 15, 17, 17, 4, 23]
400277508	12.0	[1, 19, 11, 26, 19, 14, 2, 22, 19, 23]
400277509	6.3	[21, 1, 1, 25, 1, 10, 5, 26, 7, 3]
